# CoCo3 OS-9 AGI IMAGE MANIFEST -- harness/tools/game_manifest.py --os9
# ★ MANIFEST ONLY. No game data is in this repository and none ever may be (§2P).
# ONE ROW PER IMAGE, not per title: the media variants are different builds.
# agi_bytes counts AGI resources ONLY -- Sierra's interpreter (CMDS/Sierra, MnLn,
# Scrn, Shdw, TOCGen) and the OS-9 host (OS9Boot, MODULES/, shell utilities) are
# CODE our port replaces, and are reported separately.
# stride 512 = DrivePak container (one 256-byte OS-9 sector per 512-byte block).
#
image	sha256	image_bytes	stride	sectors	volume	dd_fmt	version	files	agi_files	agi_bytes	vols	interp_bytes	host_bytes
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/DrivePak/kq6-drivepak.par	a6a67e3798cea57ff90014bc683ef7702ad514b1579c3ed490be2a2d1d3e8cfc	5898240	512	11520	King's Quest 6	0x02	v2	25	8	218762	2	37162	38632
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Drivewire/kq6-becker.dsk	db4ba4e5c72affabc3e5911382295119617406070e0a86a2e72a1e7d83638cc8	1150720	256	4495	King's Quest 6	0x02	v2	32	14	1049006	8	37162	42306
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Drivewire/kq6-dw.dsk	00deec0dbe12ac1f23cae6351a47035b2bbd846e32877ccc0733de1e513b19bf	1150208	256	4493	King's Quest 6	0x02	v2	32	14	1049006	8	37162	41902
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Floppy 360K/kq6-1.dsk	681b2addc4f2d4dfdf43d6cc04c3624b06485395cb8671a9a4d2797566dbd1c6	368640	256	1440	King's Quest 6 AGI Disk 1	0x03	v2	18	8	218762	2	37162	31914
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Floppy 360K/kq6-2.dsk	6029ceab4249485b4cea70dbccd92d0136c2bf35b10b0860f03cb6b523d88635	368640	256	1440	King's Quest 6 AGI Disk 2	0x03	none	4	4	356263	3	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Floppy 360K/kq6-3.dsk	b6a606871b3ac980332dec4282d5f72cf58d3c65276b19e39e90ffd6b7941633	368640	256	1440	King's Quest 6 AGI Disk 3	0x03	none	3	3	254422	2	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Floppy 360K/kq6-4.dsk	df79d074001a261ec4444aea0b69241810e06a96a5a1c84050ce83b5782dab14	368640	256	1440	King's Quest 6 AGI Disk 4	0x03	none	3	3	322710	2	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Floppy 360K/kq6-5.dsk	a5ba3382e42bd31b2cfb0a988766321a91f75c2af11df841b5487ff904a301b9	368640	256	1440	King's Quest 6 AGI Disk 5	0x03	none	3	3	276460	2	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Floppy 360K/kq6-6.dsk	9e3f9367ea47290798a0983126db208f5eb3282482b00296f48f4075bd147a4a	368640	256	1440	King's Quest 6 AGI Disk 6	0x03	none	4	4	357012	3	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Floppy 720K/kq6-1.dsk	18b89588b75cf545aeba0a263e6ba9778f1c8913630960019c1b91be7d87e137	737280	256	2880	King's Quest 6 AGI Disk 1	0x03	v2	21	11	548027	5	37162	31914
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Floppy 720K/kq6-2.dsk	cb969263a961de2eb139e3dcae3c42fd5dd66e9f8aa8cc2b71c88f09983b19ec	737280	256	2880	King's Quest 6 AGI Disk 2	0x03	none	6	6	674762	5	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Savegames/kq6sg-1.dsk	7702e98c04611bacd626f75ba607cd364d271099dcdf4db54e30c20231b7d7dd	161280	256	630		0x00	none	12	0	0	0	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Savegames/kq6sg-2.dsk	671a4ef2bdf0454319d542861b74c976a7177c74d2c6d39214b5c05f229ac682	161280	256	630		0x00	none	12	0	0	0	0	0
King's Quest VI AGI (Brandon Kouri) (OS-9) (Coco 3)/Savegames/kq6sg-3.dsk	14af24b03dbc54189219d3f80df5c4498524eae47a02483ebcdf3b425097964e	161280	256	630		0x00	none	5	0	0	0	0	0
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/lsl.dsk	70f37fe201dd838b582a6c713f8d2d7da893736da633e88173b94a30142ac41d	737280	256	2880	Leisure Suit Larry 1	0x03	v2	30	11	296454	5	37162	41655
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/lsl-drivepak.par	3695d80c932aad10898f3d41cc5c2a1f34d7910299fdc0abf95edfd2eef70bed	1474560	512	2880	Leisure Suit Larry 1	0x02	v2	28	11	296454	5	37162	38572
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/lsl-becker.dsk	cccc2c0d086e5dbe3f8d1f308fb2bebc6f9a5cf22fb5cabd5f99f4f162b39629	397312	256	1552	Leisure Suit Larry 1	0x02	v2	29	11	296454	5	37162	42246
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/lsl-dw.dsk	7f04ab7c109e2565b66831e671dfc96ef475f4ead8c7c44c4884f43ce0987199	396800	256	1550	Leisure Suit Larry 1	0x02	v2	29	11	296454	5	37162	41842
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/lsl-1.dsk	2207f25e8860f3244bee2047401583eb0eb4577ebeddd0a6e05d27589b7797f8	368640	256	1440	Leisure Suit Larry 1 Disk 1	0x03	v2	20	10	188008	4	37162	31854
