# THREE-AXIS CORPUS CLASSIFICATION (AD-28) -- harness/tools/classify_corpus.py
# * MANIFEST ONLY. No game data here and none ever (§2P).
# dir_format / vol_format / interp_version are INDEPENDENT AXES. Each has a *_method
# saying HOW it was established. An EMPTY value was NOT ESTABLISHED -- never guessed.
# interp_version is populated ONLY from an oracle md5+size match (L-26): a version from
# the oracle's table and one inferred from file shape are different claims.
# Detection hash = md5 of the FIRST 5000 BYTES of the detection file, size enforced where
# the table gives one (advancedDetector.cpp:974 and :818, read not assumed -- L-25).
#
population	row	dir_format	dir_method	vol_format	vol_method	interp_version	interp_method	detect_file	detect_md5	detect_bytes	scummvm_id	scummvm_extra	scummvm_platform	match_note	scummvm_comment
fan	czherm	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	6e3086cbb794d3299a9c5a9792295511	768	agi-fanmade	The Adventures of a Crazed Hermit	DOS	ok	
fan	dashik	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	9b2c7b9b0283ab9f12bedc0cb6770a07	609	agi-fanmade	Dashiki (16 Colors)	DOS	ok	
fan	dateq1	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	ba3dcb2600645be53a13170aa1a12e69	768	agi-fanmade	Date Quest 1 (v1.0)	DOS	ok	
fan	dateq2	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	f13f6fc85aa3e6e02b0c20408fb63b47	603	agi-fanmade	Date Quest 2 (v1.0)	DOS	ok	
fan	davesq	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	da3772624cc4a86f7137db812f6d7c39	603	agi-fanmade	Dave's Quest (v0.17)	DOS	ok	
fan	demo1	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2440	oracle md5+size match; version on the entry line	logdir	9c4a5b09cc3564bc48b4766e679ea332	300	agidemo	Demo 1 1987-05-20	DOS	ok	AGI Demo 1 (PC) 05/87 [AGI 2.425]
fan	demo2	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version on the entry line	logdir	852ac303a374df62571642ca1e2d1f0a	666	agidemo	Demo 2 1987-11-24 [version 1] 5.25\	DOS	ok	AGI Demo 2 (PC 5.25") 11/87 [v1] [AGI 2.915]
fan	demo3	v3	single combined 'dmdir'		combined DIR; v3 volume layout not walked (out of scope)	0x3149	oracle md5+size match; version on the entry line	dmdir	289c7a2c881f1d973661e961ced77d74	2552	agidemo	Demo 3 1988-09-13	DOS	ok	AGI Demo 3 (PC) 09/88 [AGI 3.002.102]
fan	dgadgm	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	0d6376d493fa7a21ec4da1a063e12b25	300	agi-fanmade	DG: The Adventure Game (v1.1)	DOS	ok	
fan	dgagms	v2	four separate DIR files present	V2	V3 walk hit a bad signature		UNMATCHED -- not established	logdir	efe453b92bc1487ea69fbebede4d5f26	300				no md5 match	
